# S0B for NGC data 
# k1-eff  k2-eff  k3-eff S_0B(k1-eff,k2-eff,k3-eff)  S_0B
2.019699999999999968e-02 2.019699999999999968e-02 4.509300000000000114e-02 9.276084641482032776e+09 4.406788667664088249e+09
2.019699999999999968e-02 2.516699999999999840e-02 2.516699999999999840e-02 1.016073061619754601e+10 4.406788667664088249e+09
2.019699999999999968e-02 2.516699999999999840e-02 3.013700000000000059e-02 9.698800237598434448e+09 4.406788667664088249e+09
2.019699999999999968e-02 2.516699999999999840e-02 3.511100000000000332e-02 9.433075701691780090e+09 4.406788667664088249e+09
2.019699999999999968e-02 2.516699999999999840e-02 4.009599999999999970e-02 9.068816840479623795e+09 4.406788667664088249e+09
2.019699999999999968e-02 2.516699999999999840e-02 4.509300000000000114e-02 8.967317311275199890e+09 4.406788667664088249e+09
2.019699999999999968e-02 2.516699999999999840e-02 5.009299999999999864e-02 8.724966468816938400e+09 4.406788667664088249e+09
2.019699999999999968e-02 3.013700000000000059e-02 3.013700000000000059e-02 9.236869858999319077e+09 4.406788667664088249e+09
2.019699999999999968e-02 3.013700000000000059e-02 3.511100000000000332e-02 8.971145323092664719e+09 4.406788667664088249e+09
2.019699999999999968e-02 3.013700000000000059e-02 4.009599999999999970e-02 8.606886461880512238e+09 4.406788667664088249e+09
2.019699999999999968e-02 3.013700000000000059e-02 4.509300000000000114e-02 8.505386932676087379e+09 4.406788667664088249e+09
2.019699999999999968e-02 3.013700000000000059e-02 5.009299999999999864e-02 8.263036090217825890e+09 4.406788667664088249e+09
2.019699999999999968e-02 3.013700000000000059e-02 5.507800000000000196e-02 8.249597429293294907e+09 4.406788667664088249e+09
2.019699999999999968e-02 3.511100000000000332e-02 3.511100000000000332e-02 8.705420787186012268e+09 4.406788667664088249e+09
2.019699999999999968e-02 3.511100000000000332e-02 4.009599999999999970e-02 8.341161925973857880e+09 4.406788667664088249e+09
2.019699999999999968e-02 3.511100000000000332e-02 4.509300000000000114e-02 8.239662396769433022e+09 4.406788667664088249e+09
2.019699999999999968e-02 3.511100000000000332e-02 5.009299999999999864e-02 7.997311554311171532e+09 4.406788667664088249e+09
2.019699999999999968e-02 3.511100000000000332e-02 5.507800000000000196e-02 7.983872893386640549e+09 4.406788667664088249e+09
2.019699999999999968e-02 3.511100000000000332e-02 6.006700000000000234e-02 7.731603636797462463e+09 4.406788667664088249e+09
2.019699999999999968e-02 4.009599999999999970e-02 4.009599999999999970e-02 7.976903064761701584e+09 4.406788667664088249e+09
2.019699999999999968e-02 4.009599999999999970e-02 4.509300000000000114e-02 7.875403535557277679e+09 4.406788667664088249e+09
2.019699999999999968e-02 4.009599999999999970e-02 5.009299999999999864e-02 7.633052693099016190e+09 4.406788667664088249e+09
2.019699999999999968e-02 4.009599999999999970e-02 5.507800000000000196e-02 7.619614032174487114e+09 4.406788667664088249e+09
2.019699999999999968e-02 4.009599999999999970e-02 6.006700000000000234e-02 7.367344775585307121e+09 4.406788667664088249e+09
2.019699999999999968e-02 4.009599999999999970e-02 6.505900000000000571e-02 7.335250291154239655e+09 4.406788667664088249e+09
2.019699999999999968e-02 4.509300000000000114e-02 4.509300000000000114e-02 7.773904006352853775e+09 4.406788667664088249e+09
2.019699999999999968e-02 4.509300000000000114e-02 5.009299999999999864e-02 7.531553163894592285e+09 4.406788667664088249e+09
2.019699999999999968e-02 4.509300000000000114e-02 5.507800000000000196e-02 7.518114502970062256e+09 4.406788667664088249e+09
2.019699999999999968e-02 4.509300000000000114e-02 6.006700000000000234e-02 7.265845246380882263e+09 4.406788667664088249e+09
2.019699999999999968e-02 4.509300000000000114e-02 6.505900000000000571e-02 7.233750761949813843e+09 4.406788667664088249e+09
2.019699999999999968e-02 4.509300000000000114e-02 7.005400000000000515e-02 7.084645496548634529e+09 4.406788667664088249e+09
2.019699999999999968e-02 5.009299999999999864e-02 5.009299999999999864e-02 7.289202321436329842e+09 4.406788667664088249e+09
2.019699999999999968e-02 5.009299999999999864e-02 5.507800000000000196e-02 7.275763660511800766e+09 4.406788667664088249e+09
2.019699999999999968e-02 5.009299999999999864e-02 6.006700000000000234e-02 7.023494403922620773e+09 4.406788667664088249e+09
2.019699999999999968e-02 5.009299999999999864e-02 6.505900000000000571e-02 6.991399919491552353e+09 4.406788667664088249e+09
2.019699999999999968e-02 5.009299999999999864e-02 7.005400000000000515e-02 6.842294654090372086e+09 4.406788667664088249e+09
2.019699999999999968e-02 5.009299999999999864e-02 7.505299999999999472e-02 6.802863566026987076e+09 4.406788667664088249e+09
2.019699999999999968e-02 5.507800000000000196e-02 5.507800000000000196e-02 7.262324999587269783e+09 4.406788667664088249e+09
2.019699999999999968e-02 5.507800000000000196e-02 6.006700000000000234e-02 7.010055742998091698e+09 4.406788667664088249e+09
2.019699999999999968e-02 5.507800000000000196e-02 6.505900000000000571e-02 6.977961258567023277e+09 4.406788667664088249e+09
2.019699999999999968e-02 5.507800000000000196e-02 7.005400000000000515e-02 6.828855993165843010e+09 4.406788667664088249e+09
2.019699999999999968e-02 5.507800000000000196e-02 7.505299999999999472e-02 6.789424905102457047e+09 4.406788667664088249e+09
2.019699999999999968e-02 5.507800000000000196e-02 8.005400000000000016e-02 6.685151294853209496e+09 4.406788667664088249e+09
2.019699999999999968e-02 6.006700000000000234e-02 6.006700000000000234e-02 6.757786486408911705e+09 4.406788667664088249e+09
2.019699999999999968e-02 6.006700000000000234e-02 6.505900000000000571e-02 6.725692001977843285e+09 4.406788667664088249e+09
2.019699999999999968e-02 6.006700000000000234e-02 7.005400000000000515e-02 6.576586736576663017e+09 4.406788667664088249e+09
2.019699999999999968e-02 6.006700000000000234e-02 7.505299999999999472e-02 6.537155648513278008e+09 4.406788667664088249e+09
2.019699999999999968e-02 6.006700000000000234e-02 8.005400000000000016e-02 6.432882038264029503e+09 4.406788667664088249e+09
2.019699999999999968e-02 6.505900000000000571e-02 6.505900000000000571e-02 6.693597517546774864e+09 4.406788667664088249e+09
2.019699999999999968e-02 6.505900000000000571e-02 7.005400000000000515e-02 6.544492252145594597e+09 4.406788667664088249e+09
2.019699999999999968e-02 6.505900000000000571e-02 7.505299999999999472e-02 6.505061164082209587e+09 4.406788667664088249e+09
2.019699999999999968e-02 6.505900000000000571e-02 8.005400000000000016e-02 6.400787553832961082e+09 4.406788667664088249e+09
2.019699999999999968e-02 7.005400000000000515e-02 7.005400000000000515e-02 6.395386986744415283e+09 4.406788667664088249e+09
2.019699999999999968e-02 7.005400000000000515e-02 7.505299999999999472e-02 6.355955898681030273e+09 4.406788667664088249e+09
2.019699999999999968e-02 7.005400000000000515e-02 8.005400000000000016e-02 6.251682288431780815e+09 4.406788667664088249e+09
