# Tk at z_eff=1.7584 (p=1.6, NGC) raw output of classy 
#  dict_keys(['k (h/Mpc)', 'd_g', 'd_b', 'd_cdm', 'd_ur', 'd_ncdm[0]', 'd_tot', 'phi', 'psi'])
1.377398460901775312e-01 -6.588705771921359033e-02 -6.979712450250918664e+03 -7.037932137771929774e+03 -6.356961053451228028e-02 -1.159447585230916502e+02 -6.992546757042017816e+03 5.281802859956749585e-02 5.281802858608978385e-02
1.423597656850012216e-01 -6.285654502082682615e-02 -7.108741017586857197e+03 -7.173105613481947330e+03 -6.064569488097716621e-02 -1.109827787030247208e+02 -7.126025250092097849e+03 5.038935750326507118e-02 5.038935749119081292e-02
1.471298090529082336e-01 -5.971209962160812373e-02 -7.206853555422566387e+03 -7.279957154202725178e+03 -5.761186323601787812e-02 -1.057586766720771578e+02 -7.230920424059311699e+03 4.786942717179759610e-02 4.786942716102800949e-02
1.520560906705344939e-01 -5.658779744249343990e-02 -7.287373771308777577e+03 -7.370364701545794560e+03 -5.459746813069427801e-02 -1.005150365189875714e+02 -7.319276734293063782e+03 4.536558499861215177e-02 4.536558498903065645e-02
1.571447494749977913e-01 -5.363499112820137998e-02 -7.370490561201399032e+03 -7.462585857534115348e+03 -5.174853072199710191e-02 -9.553261233301967081e+01 -7.409561536699415228e+03 4.299903873649229408e-02 4.299903872796769638e-02
1.624019581183401839e-01 -5.098490912969712990e-02 -7.478881619847291404e+03 -7.577335009688991704e+03 -4.919165838652642814e-02 -9.106331156234570301e+01 -7.522691049484633368e+03 4.087489869319575059e-02 4.087489868558921713e-02
1.678339340610477959e-01 -4.871142553134138325e-02 -7.631267168466664771e+03 -7.731914978327985409e+03 -4.699812560839284475e-02 -8.723638255751946247e+01 -7.676101304085391348e+03 3.905234637719433299e-02 3.905234637037293538e-02
1.734469533822585174e-01 -4.680625544651564884e-02 -7.835622362328796044e+03 -7.933979717696789521e+03 -4.515993909195112344e-02 -8.401126030762942776e+01 -7.877456633512999360e+03 3.752482298463068189e-02 3.752482297848033777e-02
1.792473681711116706e-01 -4.517722986594648049e-02 -8.084512408074138875e+03 -8.177175890332357994e+03 -4.358817995240609616e-02 -8.125607248304625330e+01 -8.120266150281267983e+03 3.621851750586519564e-02 3.621851750029625450e-02
1.852416283549576936e-01 -4.368026775265795858e-02 -8.356352440401096828e+03 -8.442252054286867860e+03 -4.214384166752539740e-02 -7.875146155997374819e+01 -8.385010864722356928e+03 3.501808801013946842e-02 3.501808800508701691e-02
