# Bispectrum RIC correction for sample NGC and SN subtraction False 
#  k1_eff k2_eff k3_eff Wk_ric
1.037300000000000028e-02 3.511100000000000332e-02 4.509300000000000114e-02 6.985684643953645433e-03
1.037300000000000028e-02 3.511100000000000332e-02 5.009299999999999864e-02 -1.433414506359174251e-02
1.037300000000000028e-02 4.009599999999999970e-02 4.009599999999999970e-02 2.150397105726730915e-02
1.037300000000000028e-02 4.009599999999999970e-02 4.509300000000000114e-02 1.643388134939216538e-02
1.037300000000000028e-02 4.009599999999999970e-02 5.009299999999999864e-02 2.368118606255515627e-03
1.037300000000000028e-02 4.009599999999999970e-02 5.507800000000000196e-02 -2.492627221212018879e-02
1.037300000000000028e-02 4.509300000000000114e-02 4.509300000000000114e-02 2.104837000389489510e-02
1.037300000000000028e-02 4.509300000000000114e-02 5.009299999999999864e-02 2.178608460063748836e-02
1.037300000000000028e-02 4.509300000000000114e-02 5.507800000000000196e-02 3.655776099515836448e-03
1.037300000000000028e-02 4.509300000000000114e-02 6.006700000000000234e-02 -2.213335976795315421e-02
1.037300000000000028e-02 5.009299999999999864e-02 5.009299999999999864e-02 1.881367382453368736e-02
1.037300000000000028e-02 5.009299999999999864e-02 5.507800000000000196e-02 2.030177039969666142e-02
1.037300000000000028e-02 5.009299999999999864e-02 6.006700000000000234e-02 5.108528812011250975e-03
1.037300000000000028e-02 5.009299999999999864e-02 6.505900000000000571e-02 -3.360788974966495701e-02
1.037300000000000028e-02 5.507800000000000196e-02 5.507800000000000196e-02 6.046577380289440591e-03
1.037300000000000028e-02 5.507800000000000196e-02 6.006700000000000234e-02 1.717665394762156808e-02
1.037300000000000028e-02 5.507800000000000196e-02 6.505900000000000571e-02 7.627969629256871505e-03
1.037300000000000028e-02 5.507800000000000196e-02 7.005400000000000515e-02 -1.300741801911659175e-02
1.037300000000000028e-02 6.006700000000000234e-02 6.006700000000000234e-02 1.747087369834561879e-02
1.037300000000000028e-02 6.006700000000000234e-02 6.505900000000000571e-02 2.029751791902230720e-02
1.037300000000000028e-02 6.006700000000000234e-02 7.005400000000000515e-02 7.347523436593061952e-03
1.037300000000000028e-02 6.006700000000000234e-02 7.505299999999999472e-02 2.788650484864058348e-03
1.037300000000000028e-02 6.505900000000000571e-02 6.505900000000000571e-02 1.255025019097178070e-02
1.037300000000000028e-02 6.505900000000000571e-02 7.005400000000000515e-02 1.349133266170823332e-02
1.037300000000000028e-02 6.505900000000000571e-02 7.505299999999999472e-02 3.251906311739686303e-03
1.037300000000000028e-02 6.505900000000000571e-02 8.005400000000000016e-02 -1.721202281077063162e-02
1.037300000000000028e-02 7.005400000000000515e-02 7.005400000000000515e-02 1.090406251808737938e-02
1.037300000000000028e-02 7.005400000000000515e-02 7.505299999999999472e-02 1.501649098681514388e-02
1.037300000000000028e-02 7.005400000000000515e-02 8.005400000000000016e-02 6.257115901985213675e-03
1.037300000000000028e-02 7.505299999999999472e-02 7.505299999999999472e-02 1.703904719929407938e-02
1.037300000000000028e-02 7.505299999999999472e-02 8.005400000000000016e-02 1.209720149002328250e-02
1.037300000000000028e-02 8.005400000000000016e-02 8.005400000000000016e-02 1.158238281374032903e-02
1.525999999999999926e-02 1.525999999999999926e-02 1.525999999999999926e-02 -7.363986129599160713e-03
1.525999999999999926e-02 1.525999999999999926e-02 2.019699999999999968e-02 1.843830262825043925e-03
1.525999999999999926e-02 1.525999999999999926e-02 2.516699999999999840e-02 -9.206629409759675003e-03
1.525999999999999926e-02 1.525999999999999926e-02 3.013700000000000059e-02 3.783847220033433978e-04
1.525999999999999926e-02 1.525999999999999926e-02 3.511100000000000332e-02 2.983728900504767009e-02
1.525999999999999926e-02 2.019699999999999968e-02 2.019699999999999968e-02 -3.547346266261687444e-03
1.525999999999999926e-02 2.019699999999999968e-02 2.516699999999999840e-02 -4.991583164147165652e-04
