# Bispectrum RIC correction for sample NGC and SN subtraction True 
#  k1_eff k2_eff k3_eff Wk_ric
1.037300000000000028e-02 6.006700000000000234e-02 7.005400000000000515e-02 1.300990766176426429e-02
1.037300000000000028e-02 6.006700000000000234e-02 7.505299999999999472e-02 4.856292046895989596e-03
1.037300000000000028e-02 6.505900000000000571e-02 6.505900000000000571e-02 2.328123152352363015e-02
1.037300000000000028e-02 6.505900000000000571e-02 7.005400000000000515e-02 2.478377935323151232e-02
1.037300000000000028e-02 6.505900000000000571e-02 7.505299999999999472e-02 5.773446806667252747e-03
1.037300000000000028e-02 6.505900000000000571e-02 8.005400000000000016e-02 -3.098216565330269914e-02
1.037300000000000028e-02 7.005400000000000515e-02 7.005400000000000515e-02 2.062012790580793065e-02
1.037300000000000028e-02 7.005400000000000515e-02 7.505299999999999472e-02 2.825348926690014403e-02
1.037300000000000028e-02 7.005400000000000515e-02 8.005400000000000016e-02 1.128640606424988722e-02
1.037300000000000028e-02 7.505299999999999472e-02 7.505299999999999472e-02 3.318338279878025460e-02
1.037300000000000028e-02 7.505299999999999472e-02 8.005400000000000016e-02 2.290542046654105157e-02
1.037300000000000028e-02 8.005400000000000016e-02 8.005400000000000016e-02 2.287697338480734408e-02
1.525999999999999926e-02 1.525999999999999926e-02 1.525999999999999926e-02 -1.067341727748689559e-02
1.525999999999999926e-02 1.525999999999999926e-02 2.019699999999999968e-02 2.598502445845009279e-03
1.525999999999999926e-02 1.525999999999999926e-02 2.516699999999999840e-02 -1.299363644674558262e-02
1.525999999999999926e-02 1.525999999999999926e-02 3.013700000000000059e-02 4.686063577253149655e-04
1.525999999999999926e-02 1.525999999999999926e-02 3.511100000000000332e-02 4.102334380766337746e-02
1.525999999999999926e-02 2.019699999999999968e-02 2.019699999999999968e-02 -5.194842219718377903e-03
1.525999999999999926e-02 2.019699999999999968e-02 2.516699999999999840e-02 -7.869399988694819820e-04
1.525999999999999926e-02 2.019699999999999968e-02 3.013700000000000059e-02 -2.579005718606044127e-03
1.525999999999999926e-02 2.019699999999999968e-02 3.511100000000000332e-02 -1.447060466610147669e-03
1.525999999999999926e-02 2.019699999999999968e-02 4.009599999999999970e-02 -1.250827603516543006e-02
1.525999999999999926e-02 2.516699999999999840e-02 2.516699999999999840e-02 3.502773848265591707e-03
1.525999999999999926e-02 2.516699999999999840e-02 3.013700000000000059e-02 -7.578320117962332111e-03
1.525999999999999926e-02 2.516699999999999840e-02 3.511100000000000332e-02 1.199418997449354200e-02
1.525999999999999926e-02 2.516699999999999840e-02 4.009599999999999970e-02 -9.977406320630644726e-03
1.525999999999999926e-02 2.516699999999999840e-02 4.509300000000000114e-02 -9.568766447486451790e-03
1.525999999999999926e-02 3.013700000000000059e-02 3.013700000000000059e-02 -1.407979250010133604e-02
1.525999999999999926e-02 3.013700000000000059e-02 3.511100000000000332e-02 6.183602606407678261e-03
1.525999999999999926e-02 3.013700000000000059e-02 4.009599999999999970e-02 7.143353472557564549e-04
1.525999999999999926e-02 3.013700000000000059e-02 4.509300000000000114e-02 -2.417165177259882319e-03
1.525999999999999926e-02 3.013700000000000059e-02 5.009299999999999864e-02 1.714625292158700881e-02
1.525999999999999926e-02 3.511100000000000332e-02 3.511100000000000332e-02 1.192390789871412187e-03
1.525999999999999926e-02 3.511100000000000332e-02 4.009599999999999970e-02 -5.379568469783088669e-03
1.525999999999999926e-02 3.511100000000000332e-02 4.509300000000000114e-02 1.782539256511503530e-03
1.525999999999999926e-02 3.511100000000000332e-02 5.009299999999999864e-02 3.543178813795452593e-03
1.525999999999999926e-02 3.511100000000000332e-02 5.507800000000000196e-02 1.836828650277442122e-03
1.525999999999999926e-02 4.009599999999999970e-02 4.009599999999999970e-02 -4.312409639906611110e-04
1.525999999999999926e-02 4.009599999999999970e-02 4.509300000000000114e-02 -1.003975362502315541e-03
1.525999999999999926e-02 4.009599999999999970e-02 5.009299999999999864e-02 4.278488872202720200e-03
1.525999999999999926e-02 4.009599999999999970e-02 5.507800000000000196e-02 -8.609385251932971661e-03
1.525999999999999926e-02 4.009599999999999970e-02 6.006700000000000234e-02 8.964297222183037137e-03
1.525999999999999926e-02 4.509300000000000114e-02 4.509300000000000114e-02 -2.678529296364740714e-03
1.525999999999999926e-02 4.509300000000000114e-02 5.009299999999999864e-02 -5.121124734597228868e-03
1.525999999999999926e-02 4.509300000000000114e-02 5.507800000000000196e-02 -5.180140564983661162e-03
1.525999999999999926e-02 4.509300000000000114e-02 6.006700000000000234e-02 -8.551665500711080198e-03
1.525999999999999926e-02 4.509300000000000114e-02 6.505900000000000571e-02 -8.291050078977917417e-03
1.525999999999999926e-02 5.009299999999999864e-02 5.009299999999999864e-02 -1.711539128014953007e-03
1.525999999999999926e-02 5.009299999999999864e-02 5.507800000000000196e-02 -1.425028243891433150e-03
1.525999999999999926e-02 5.009299999999999864e-02 6.006700000000000234e-02 -6.794929850953207971e-03
